Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.34190618082860214,1.5377367862209512,-0.46414330831428313,0,
BSD,X11,PoW/PoS,24387724.5,139000000.0,-0.38430456241382527,1.2693353664493097,-0.39280321311466837,0,
OMNI,Scrypt,PoW,616448.0,616448.0,-0.16478027798937853,-1.1020684466677448,-0.010986491972429348,1,
LIR,POS 3.0,PoS,38589808.67,33500000.0,-0.35287039598560094,1.4473930025039952,-0.15439266552269054,0,
PUT,Scrypt,PoW/PoS,813092338.6,2000000000.0,-0.29817414688116456,1.0591498898538514,-0.4810497613929204,0,
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.32194546077256797,1.059755076621171,-0.48052411007880624,0,
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.3203827350002243,1.059765134130405,-0.48057188789193034,0,
MUDRA,X13,PoS,5000000.0,200000000.0,-0.238298798519305,1.5015196260107224,-0.33073517059582075,0,
PIZZA,X11,PoW,1377917.0,25000000.0,-0.22787189573978256,-0.8924626577320665,0.07674878588131574,1,
LC,X11,PoS,657000000.0,657000000.0,-0.34567080504661724,1.0411886949017353,-0.16925005545921704,0,
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.20392328328647263,-1.840915616742865,0.2639848951661778,1,
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.3850442847503463,1.2693734408014994,-0.3927919599912682,0,
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.32114875319355934,1.0597483848261053,-0.4805453328667929,0,
KRB,CryptoNight,PoW,7822432.724,10000000.0,0.2976134415460103,-2.2962508841452656,0.34212014517213774,1,
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.299516711075973,0.7915590414778941,-0.3089944968927716,0,
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.14200425550528248,-1.3702759776388735,0.1605361462300415,1,
MST,X11,PoW/PoS,657636.3455,3000000.0,-0.38556022821351105,1.269389689251128,-0.39278137684018916,0,
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.3221348827862825,1.0597651976111098,-0.48052132694423016,0,
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.107227333056914,-1.848158569494875,0.2839621691100305,1,
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.32229181488267544,1.0597747236508779,-0.4805193238490315,0,
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.16194348485125581,-1.102117421554776,-0.011055387948325909,1,
BTCR,Scrypt,PoS,169598616.0,0.0,-0.2930212719705877,0.8316939163572866,-0.256713357635065,0,
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.141962840030376,-1.3702753193325674,0.16053477609796224,1,
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.23911476506130389,0.47418467988044594,-0.21189823272659272,0,
SH,Scrypt,PoW,11119200.0,30000000.0,-0.16444324471953498,-1.102078159213056,-0.010993644424261274,1,
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.06406540179946828,1.847696491656779,-0.6161929454426451,0,
XPO,PoS,PoS,74033806.79,74000000.0,-0.36721695580489216,1.5402538371143637,-0.11891946977769191,0,
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.3219055863403663,1.0597866160394587,-0.4805336274298238,0,
HALLO,X11,PoW/PoS,264678458.3,1500000000.0,-0.37170424253654716,1.2687927991057149,-0.3930230114648735,0,
